公司简称,融资时间,轮次,金额,币种,等值人民币(万),投资机构
网宿科技,2008-11-20,B轮,40000000.0,人民币,40000000.0,"达晨财智,创东方投资,德诚盛景"
网宿科技,2007-06-01,A轮,40000000.0,人民币,40000000.0,"深创投,达晨财智"
德必,2021-02-10,IPO上市,690000000.0,人民币,690000000.0,
德必,2018-09-26,C轮,,人民币,,招商致远资本
德必,2017-05-26,B轮,,人民币,,阳光保险
德必,2016-12-07,A轮,,人民币,,"达晨财智,中民投,卓元资本,北京江铜有邻资产管理有限公司"
德必,2016-09-02,A轮,,人民币,,达晨财智
德必,2016-03-28,天使轮,,人民币,,海尔资本
罗科仕,2024-03-05,IPO上市,6000000.0,美元,37800000.0,
罗科仕,2018-08-13,退市,,人民币,,
罗科仕,2016-08-04,新三板,,人民币,,
辰安科技,2020-03-15,IPO上市后,,人民币,,中国电信
辰安科技,2019-04-18,IPO上市后,173000000.0,人民币,173000000.0,中国电子进出口
辰安科技,2016-07-26,IPO上市,,人民币,,
辰安科技,2011-09-24,B轮,,人民币,,"瑞为铁道科技,昆冈股权投资"
