公司简称,融资时间,轮次,金额,币种,等值人民币(万),投资机构
汉得信息,2019-03-01,IPO上市后,5.5亿,人民币,,百度
天玑科技,2011-07-19,IPO上市,未透露,人民币,,
奥飞数据,2023-04-20,IPO上市后,12亿,人民币,,"东方财富网,瑞华控股,银河投资(银河资本),UBS瑞银,财通基金,诺德基金"
吉大正元,2020-12-24,IPO上市,5.08亿,人民币,,
迪普科技,2019-04-12,IPO上市,4.49亿,人民币,,
兴图新科,2020-01-06,IPO上市,5.19亿,人民币,,
东方国信,2011-01-25,IPO上市,5.63亿,人民币,,
海默科技,2010-05-20,IPO上市,5.28亿,人民币,,
浪潮软件,1996-09-23,IPO上市,5600万,人民币,,
高伟达软件,2015-05-28,IPO上市,3.75亿,人民币,,
太极计算机,2010-03-12,IPO上市,7.25亿,人民币,,
网达软件,2016-09-14,IPO上市,4.01亿,人民币,,
东方中科,2020-04-22,IPO上市后,7.8亿,人民币,,大连金投
恒信移动,2010-05-20,IPO上市,6.59亿,人民币,,
皖通科技,2010-01-06,IPO上市,3.78亿,人民币,,
创意信息,2014-01-27,IPO上市,2.59亿,人民币,,
蓝盾股份,2019-10-14,IPO上市后,未透露,人民币,,科学城集团
直真科技,2020-09-23,IPO上市,4.68亿,人民币,,
齐心集团,2019-10-21,IPO上市后,9.6亿,人民币,,"博时基金,泰康保险,南方基金,格力金投,宝盈基金,国贸期货,招商基金"
南威软件,2019-09-22,IPO上市后,3.24亿,人民币,,电科投资
亿联网络,2017-03-17,IPO上市,16.6亿,人民币,,
智明达电子,2021-04-08,IPO上市,4.36亿,人民币,,
中亦科技,2022-07-07,IPO上市,7.68亿,人民币,,
普乐师,2023-05-11,IPO上市,2.12亿,港元,,
泛微网络,2020-07-26,IPO上市后,7.71亿,人民币,,腾讯投资
神州顺利办,2015-12-08,IPO上市,,人民币,,
英维克,2016-12-29,IPO上市,未透露,人民币,,
广电计量,2019-11-08,IPO上市,6.14亿,人民币,,
天承科技,2023-07-10,IPO上市,7.99亿,人民币,,
法本信息,2020-12-30,IPO上市,6.5亿,人民币,,
协创物联,2021-06-30,IPO上市后,未透露,人民币,,中信证券
万集科技,2016-10-21,IPO上市,3.27亿,人民币,,
中新赛克,2017-11-21,IPO上市,5.05亿,人民币,,
钢研纳克,2019-11-01,IPO上市,2.79亿,人民币,,
同有科技,2020-05-08,IPO上市后,2.3亿,人民币,,"腾飞资本,国新融智"
中公高科,2017-08-02,IPO上市,2.61亿,人民币,,
中创股份,2024-03-13,IPO上市,4.77亿,人民币,,
英飞拓,2018-12-18,IPO上市后,3.61亿,人民币,,深投控
蓝汛通信,2010-10-01,IPO上市,8425万,美元,,
雄帝科技,2016-09-28,IPO上市,2.73亿,人民币,,
科锐国际,2017-06-09,IPO上市,数亿,人民币,,
科信技术,2024-01-24,IPO上市后,5.24亿,人民币,,"UBS瑞银,财通基金,诺德基金,创富金泰投资基金,中益仁基金,兴证全球基金"
新致软件,2020-12-07,IPO上市,4.88亿,人民币,,
中科江南,2022-05-18,IPO上市,9.09亿,人民币,,
思创医惠,2019-12-09,IPO上市后,5.73亿,人民币,,"创新基金管理中心,富浙资本,南方基金,银华基金"
信安世纪,2021-04-21,IPO上市,6.88亿,人民币,,
零点有数,2021-11-03,IPO上市,3.5亿,人民币,,
信威集团,2003-08-07,IPO上市,1.84亿,人民币,,
久其,2009-08-11,IPO上市,4.13亿,人民币,,
浩瀚深度,2022-08-18,IPO上市,6.5亿,人民币,,
飞天诚信,2014-06-26,IPO上市,7.87亿,人民币,,
丝路视觉,2016-11-04,IPO上市,未透露,人民币,,
南天信息,2020-04-09,IPO上市后,6.5亿,人民币,,"吉富创投,云南工投"
思特奇,2017-02-13,IPO上市,2.72亿,人民币,,
格尔软件,2020-08-31,IPO上市后,6.45亿,人民币,,"中金公司,易方达基金,泰康保险,嘉实投资-嘉实基金,南方资产,大正投资集团,电科投资,财通基金,国泰基金"
中国软件,2024-02-26,IPO上市后,20亿,人民币,,
263移动通信,2010-09-08,IPO上市,数亿,人民币,,
盛邦安全,2023-07-26,IPO上市,7.53亿,人民币,,
达华智能,2012-06-06,IPO上市后,未透露,人民币,,联创永宣
魅视科技,2022-08-08,IPO上市,5.43亿,人民币,,
博彦科技,2012-01-06,IPO上市,5.5亿,人民币,,
数据港,2020-09-24,IPO上市后,16.92亿,人民币,,"新华保险,南方资产,诺德基金,广发基金,红塔红土基金,鹏华基金"
广东利通科技,2021-02-25,IPO上市,未透露,人民币,,
宝信软件,1994-03-11,IPO上市,8800万,人民币,,
博睿数据,2020-08-17,IPO上市,7.31亿,人民币,,
软通动力,2022-03-15,IPO上市,46.3亿,人民币,,
兆日科技,2012-06-28,IPO上市,数亿,人民币,,
新奥特,2016-06-27,IPO上市,未透露,人民币,,
蓝色光标,2021-05-08,IPO上市后,数亿,人民币,,拉卡拉
网宿科技,2019-06-06,IPO上市后,35亿,人民币,,广投集团
